"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02196V02652","State","UNIT","VALUE"
"HSM09","House Construction Cost Index","1975M01","1975M01","-","State","Base Jan 1991=100","18.3"
"HSM09","House Construction Cost Index","1975M02","1975M02","-","State","Base Jan 1991=100","18.7"
"HSM09","House Construction Cost Index","1975M03","1975M03","-","State","Base Jan 1991=100","18.8"
"HSM09","House Construction Cost Index","1975M04","1975M04","-","State","Base Jan 1991=100","19.6"
"HSM09","House Construction Cost Index","1975M05","1975M05","-","State","Base Jan 1991=100","19.8"
"HSM09","House Construction Cost Index","1975M06","1975M06","-","State","Base Jan 1991=100","19.9"
"HSM09","House Construction Cost Index","1975M07","1975M07","-","State","Base Jan 1991=100","20.8"
"HSM09","House Construction Cost Index","1975M08","1975M08","-","State","Base Jan 1991=100","20.8"
"HSM09","House Construction Cost Index","1975M09","1975M09","-","State","Base Jan 1991=100","20.7"
"HSM09","House Construction Cost Index","1975M10","1975M10","-","State","Base Jan 1991=100","20.7"
"HSM09","House Construction Cost Index","1975M11","1975M11","-","State","Base Jan 1991=100","20.7"
"HSM09","House Construction Cost Index","1975M12","1975M12","-","State","Base Jan 1991=100","20.8"
"HSM09","House Construction Cost Index","1976M01","1976M01","-","State","Base Jan 1991=100","21"
"HSM09","House Construction Cost Index","1976M02","1976M02","-","State","Base Jan 1991=100","21.6"
"HSM09","House Construction Cost Index","1976M03","1976M03","-","State","Base Jan 1991=100","21.7"
"HSM09","House Construction Cost Index","1976M04","1976M04","-","State","Base Jan 1991=100","21.7"
"HSM09","House Construction Cost Index","1976M05","1976M05","-","State","Base Jan 1991=100","22"
"HSM09","House Construction Cost Index","1976M06","1976M06","-","State","Base Jan 1991=100","22.9"
"HSM09","House Construction Cost Index","1976M07","1976M07","-","State","Base Jan 1991=100","23.1"
"HSM09","House Construction Cost Index","1976M08","1976M08","-","State","Base Jan 1991=100","23.6"
"HSM09","House Construction Cost Index","1976M09","1976M09","-","State","Base Jan 1991=100","24.1"
"HSM09","House Construction Cost Index","1976M10","1976M10","-","State","Base Jan 1991=100","24.2"
"HSM09","House Construction Cost Index","1976M11","1976M11","-","State","Base Jan 1991=100","24.2"
"HSM09","House Construction Cost Index","1976M12","1976M12","-","State","Base Jan 1991=100","24.4"
"HSM09","House Construction Cost Index","1977M01","1977M01","-","State","Base Jan 1991=100","24.5"
"HSM09","House Construction Cost Index","1977M02","1977M02","-","State","Base Jan 1991=100","26.1"
"HSM09","House Construction Cost Index","1977M03","1977M03","-","State","Base Jan 1991=100","26.5"
"HSM09","House Construction Cost Index","1977M04","1977M04","-","State","Base Jan 1991=100","26.6"
"HSM09","House Construction Cost Index","1977M05","1977M05","-","State","Base Jan 1991=100","26.7"
"HSM09","House Construction Cost Index","1977M06","1977M06","-","State","Base Jan 1991=100","26.9"
"HSM09","House Construction Cost Index","1977M07","1977M07","-","State","Base Jan 1991=100","27"
"HSM09","House Construction Cost Index","1977M08","1977M08","-","State","Base Jan 1991=100","27.1"
"HSM09","House Construction Cost Index","1977M09","1977M09","-","State","Base Jan 1991=100","27.7"
"HSM09","House Construction Cost Index","1977M10","1977M10","-","State","Base Jan 1991=100","27.7"
"HSM09","House Construction Cost Index","1977M11","1977M11","-","State","Base Jan 1991=100","27.8"
"HSM09","House Construction Cost Index","1977M12","1977M12","-","State","Base Jan 1991=100","27.8"
"HSM09","House Construction Cost Index","1978M01","1978M01","-","State","Base Jan 1991=100","28.7"
"HSM09","House Construction Cost Index","1978M02","1978M02","-","State","Base Jan 1991=100","28.7"
"HSM09","House Construction Cost Index","1978M03","1978M03","-","State","Base Jan 1991=100","28.7"
"HSM09","House Construction Cost Index","1978M04","1978M04","-","State","Base Jan 1991=100","29.3"
"HSM09","House Construction Cost Index","1978M05","1978M05","-","State","Base Jan 1991=100","29.5"
"HSM09","House Construction Cost Index","1978M06","1978M06","-","State","Base Jan 1991=100","29.6"
