"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
1,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 1)",3,"Co-operative Housing Ireland","","","","","Q1-2019",""
2,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 2)",4,"Co-operative Housing Ireland","","","","","Q1-2019",""
3,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 1)",27,"Co-operative Housing Ireland","","","","Q1-2019","",""
4,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 2)",30,"Co-operative Housing Ireland","","","","Q1-2019","",""
5,"CALF Turnkey","Carlow","Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,"Tintean Housing Association Ltd","","","","","","Q1-2018"
6,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,"T�ath Housing Association Ltd","","","","","","Q4-2018"
7,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",12,"T�ath Housing Association Ltd","","","","","Q1-2018",""
8,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 3)",32,"T�ath Housing Association Ltd","","","","","Q1-2018",""
9,"CALF Turnkey","Carlow","Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2018"
10,"CALF Turnkey","Carlow","Laragh Beg, Ballon, Co. Carlow (Phase 1)",14,"Co-operative Housing Ireland","","","","Q3-2018","",""
11,"CALF Turnkey","Carlow","Laragh Beg, Ballon, Co. Carlow (Phase 2)",8,"Co-operative Housing Ireland","","","","Q3-2018","",""
12,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 1)*",8,"Co-operative Housing Ireland","","","","","Q3-2018",""
13,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 2)",8,"Co-operative Housing Ireland","","","","","Q3-2018",""
14,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 3)",12,"Co-operative Housing Ireland","","","","","Q3-2018",""
