"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1,"CAS CONSTRUCTION","Carlow","Gleann na Bearu, Royal Oak Road, Bagenalstown",6,"Respond","","","Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.","","",""
2,"CAS CONSTRUCTION","Carlow","Ballincarrig, Wexford Road",6,"Tintean Housing Association Ltd","","","","","","Q4-2016"
3,"CAS CONSTRUCTION TURNKEY","Carlow","Pollerton Big, Carlow",6,"Tintean Housing Association Ltd","","","","Stage 4 approved Q1-2019, the scheme is fully approved.","",""
4,"SHIP CONSTRUCTION","Carlow","The Laurels, Carlow Town",5,"*N/A","","","","","","Q2-2018"
5,"SHIP CONSTRUCTION","Carlow","Ard na Greine, Tullow",16,"*N/A","","","","","","Q4-2018"
6,"SHIP CONSTRUCTION","Carlow","Dublin Road, Tullow",21,"*N/A","","","","","Q1-2019",""
7,"SHIP CONSTRUCTION","Carlow","Bagenalstown Phase 1",20,"*N/A","","","","","Q2-2019",""
8,"SHIP CONSTRUCTION","Carlow","Bilboa",2,"*N/A","","","","","","Q3-2018"
9,"SHIP CONSTRUCTION","Carlow","Slate Row, Hacketstown",4,"*N/A","","","","","","Q4-2018"
10,"SHIP CONSTRUCTION","Carlow","Mount Leinster Park, Carlow",4,"*N/A","","","","","","Q4-2017"
11,"SHIP CONSTRUCTION","Carlow","Myshall",4,"*N/A","","","","","","Q1-2018"
12,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris",4,"*N/A","","","","","","Q3-2017"
13,"SHIP CONSTRUCTION","Carlow","Rathvilly",10,"*N/A","","","","","","Q2-2017"
14,"SHIP CONSTRUCTION","Carlow","Moneybeg, Bagenalstown",24,"*N/A","","","","","","Q3-2017"
15,"SHIP CONSTRUCTION","Carlow","Paulville, Tullow (SRD)",1,"*N/A","","","","","","Q3-2017"
16,"SHIP CONSTRUCTION","Carlow","Maryborough St., Carlow",5,"*N/A","","","","","","Q1-2018"
17,"SHIP CONSTRUCTION","Carlow","Drumin, St. Mullins (SRD)",1,"*N/A","","","","","","Q1-2019"
18,"SHIP CONSTRUCTION","Carlow","Father Flood Avenue, Rathvilly",8,"*N/A","","","","","Q1-2019",""
19,"SHIP CONSTRUCTION","Carlow","St. Oliver's Crescent, Myshall",4,"*N/A","","","","","Q2-2019",""
20,"SHIP CONSTRUCTION","Carlow","St. Mary's Court & Dereen Heights",6,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
21,"SHIP CONSTRUCTION","Carlow","Crowsgrove, Kildavin",1,"*N/A","","","","","Q2-2019",""
22,"SHIP CONSTRUCTION","Carlow","Shillelagh Road, Tullow, Co. Carlow",6,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
23,"SHIP CONSTRUCTION","Carlow","Ardattin",6,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
24,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow - Phase 1",6,"*N/A","","","","","Q4-2017",""
25,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow - Phase 2",6,"*N/A","","","","","Q4-2017",""
26,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow - Phase 3",8,"*N/A","","","","","Q4-2017",""
27,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow - Phase 4",12,"*N/A","","","","","Q4-2017",""
28,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow - Phase 5",12,"*N/A","","","","","Q4-2017",""
29,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow - Phase 6",19,"*N/A","","","","","Q4-2017",""
30,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 1)",3,"Co-operative Housing Ireland","","","","","Q1-2019",""
31,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 2)",4,"Co-operative Housing Ireland","","","","","Q1-2019",""
32,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 1)",27,"Co-operative Housing Ireland","","","","Q1-2019","",""
33,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 2)",30,"Co-operative Housing Ireland","","","","Q1-2019","",""
34,"CALF Turnkey","Carlow","Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,"Tintean Housing Association Ltd","","","","","","Q1-2018"
35,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,"T�ath Housing Association Ltd","","","","","","Q4-2018"
36,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",12,"T�ath Housing Association Ltd","","","","","","Q2-2019"
