No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
1,CALF Turnkey,Carlow,"115-128 Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",14,Túath Housing Association Ltd,,,,,Q2-2017,
2,CALF Turnkey,Carlow,"Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,Tintean Housing Association Ltd,,,,,,Q1-2018
3,CALF Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,Túath Housing Association Ltd,,,,,Q1-2018,
4,CALF Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",44,Túath Housing Association Ltd,,,,,Q1-2018,
5,CALF Turnkey,Carlow,"Laragh Beg, Ballon, Co. Carlow (Phase 1)",22,Co-operative Housing Ireland,,,,Q3-2018,,
6,CALF Turnkey,Carlow,"River Court,  Carlow  (Phase 1)*",7,Co-operative Housing Ireland,,,,Q1-2018,,
7,CALF Turnkey,Carlow,"River Court,  Carlow  (Phase 2)",20,Co-operative Housing Ireland,,,,Q1-2018,,
8,CALF Turnkey,Carlow,"River Court,  Carlow  (Phase 3)",11,Co-operative Housing Ireland,,,,Q1-2018,,
9,CALF Turnkey,Carlow,"River Court,  Carlow  (Phase 4)",9,Co-operative Housing Ireland,,,,Q1-2018,,
10,CALF Turnkey,Carlow,"Sleaty Street, Graigcullen, Carlow  (Phase 1)",26,Cluid Housing ,,,,,Q1-2018,
11,SHIP CONSTRUCTION TURNKEY,Carlow,"The Laurels, Tullow Road, Carlow - Phase 1",18,*N/A,,,,,Q4-2017,
12,SHIP CONSTRUCTION TURNKEY,Carlow,"The Laurels, Tullow Road, Carlow - Phase 2",22,*N/A,,,,,Q4-2017,
13,SHIP CONSTRUCTION TURNKEY,Carlow,"The Laurels, Tullow Road, Carlow - Phase 3",23,*N/A,,,,,Q4-2017,
14,SHIP CONSTRUCTION,Carlow,"The Laurels, Carlow Town",5,*N/A,,,,,,Q2-2018
15,SHIP CONSTRUCTION,Carlow,"Ard na Greine, Tullow",16,*N/A,,,,,Q1-2018,
16,SHIP CONSTRUCTION,Carlow,"Dublin Road, Tullow",21,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
17,SHIP CONSTRUCTION,Carlow,Bagenalstown,42,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
18,SHIP CONSTRUCTION,Carlow,Bilboa,2,*N/A,,,,,,Q3-2018
19,SHIP CONSTRUCTION,Carlow,Hacketstown,4,*N/A,,,,,Q1-2018,
20,SHIP CONSTRUCTION,Carlow,"Mount Leinster Park, Carlow",4,*N/A,,,,,,Q4-2017
21,SHIP CONSTRUCTION,Carlow,Myshall,4,*N/A,,,,,,Q1-2018
22,SHIP CONSTRUCTION,Carlow,"Pound Lane, Borris",4,*N/A,,,,,,Q3-2017
23,SHIP CONSTRUCTION,Carlow,Rathvilly,10,*N/A,,,,,,Q2-2017
24,SHIP CONSTRUCTION,Carlow,"Moneybeg, Bagenalstown",24,*N/A,,,,,,Q3-2017
25,SHIP CONSTRUCTION,Carlow,"Paulville, Tullow (SRD)",1,*N/A,,,,,,Q3-2017
26,SHIP CONSTRUCTION,Carlow,"Maryborough St., Carlow",5,*N/A,,,,,,Q1-2018
27,SHIP CONSTRUCTION,Carlow,"Drumin, St. Mullins (SRD)",1,*N/A,,,,,Q4-2017,
28,CAS CONSTRUCTION,Carlow,"Mill Race Court, Carlow Town",14,Cluid Housing Association,"Stage 1 approved Q3-2015, outline design and costs are being prepared.",,,,,
29,CAS CONSTRUCTION,Carlow,"Royal Oak Road, Bagenalstown",6,Respond,,,"Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.",,,
30,CAS CONSTRUCTION,Carlow,"Ballincarrig, Wexford Road",6,Tintean Housing Association Ltd,,,,,,Q4-2016
