No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,SHIP CONSTRUCTION TURNKEY,Carlow,"Tullow Road, Carlow - Phase 1",18,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Carlow,"Tullow Road, Carlow - Phase 2",22,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Carlow,"Tullow Road, Carlow - Phase 3",23,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Carlow,"The Laurels, Carlow Town",5,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Carlow,"Ard na Greine, Tullow",16,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Carlow,"Dublin Road, Tullow",21,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Carlow,Bagenalstown,42,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Carlow,Bilboa,2,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Carlow,Hacketstown,4,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Carlow,"Mount Leinster Park, Carlow",4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Carlow,Myshall,4,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Carlow,"Pound Lane, Borris",4,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Carlow,Rathvilly,10,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Carlow,"Moneybeg, Bagenalstown",24,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Carlow,"Paulville, Tullow (SRD)",1,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Carlow,"Maryborough St., Carlow",5,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Carlow,"Drumin, St. Mullins (SRD)",1,*N/A,,,,,Q4-2017,
,CAS CONSTRUCTION,Carlow,"Mill Race Court, Carlow Town",14,Cluid Housing Association,"Stage 1 approved in Q3-2015, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Carlow,"Royal Oak Road, Bagenalstown",6,Respond,,,"Stage 3 approved in Q4-2017, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Carlow,"Ballincarrig, Wexford Road",6,Tintean Housing Association Ltd,,,,,,Q4-2016
,CALF Turnkey,Carlow,"Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,Tintean Housing Association Ltd,,,,,,Q1-2018
,CALF Turnkey,Carlow,"Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",59,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Carlow,"River Court,  Carlow  (Phase 1)*",10,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Carlow,"River Court,  Carlow  (Phase 2)",26,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Carlow,"River Court,  Carlow  (Phase 3)",11,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Carlow,"River Court,  Carlow  (Phase 4)",9,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Carlow,"Sleaty Street, Graigcullen, Carlow  (Phase 1)",26,Cluid Housing ,,,,,Q1-2018,
,SHIP CONSTRUCTION,Cavan,"Rosehill, Mullagh (Phase 6)",8,*N/A,,,,,Q1-2018,
