"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
1,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 1)",3,"Co-operative Housing Ireland","","","","","","Q3-2019"
2,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 2)",4,"Co-operative Housing Ireland","","","","","","Q4-2019"
3,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 1)",27,"Co-operative Housing Ireland","","","","","Q3-2019",""
4,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 2)",30,"Co-operative Housing Ireland","","","","","Q3-2019",""
5,"CALF Turnkey","Carlow","Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,"Tintean Housing Association Ltd","","","","","","Q1-2018"
6,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,"T�ath Housing Association Ltd","","","","","","Q4-2018"
7,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",12,"T�ath Housing Association Ltd","","","","","","Q2-2019"
8,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 3)",10,"T�ath Housing Association Ltd","","","","","","Q2-2019"
9,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 4)",6,"T�ath Housing Association Ltd","","","","","","Q3-2019"
10,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 5)",16,"T�ath Housing Association Ltd","","","","","","Q4-2019"
11,"CALF Turnkey","Carlow","Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2018"
12,"CALF Turnkey","Carlow","Greenhills, Leighlin Road, Graiguecullen, Carlow (Phase 1)",8,"Co-operative Housing Ireland","","","","","Q3-2019",""
13,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 1)*",8,"Co-operative Housing Ireland","","","","","Q3-2018",""
14,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 2)",8,"Co-operative Housing Ireland","","","","","Q3-2018",""
15,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 3)",12,"Co-operative Housing Ireland","","","","","Q3-2018",""
16,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 4)",9,"Co-operative Housing Ireland","","","","","Q3-2018",""
17,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 5)",10,"Co-operative Housing Ireland","","","","","Q3-2018",""
18,"CALF Turnkey","Carlow","Sli na Ri, Bagnalstown, Co. Carlow (Phase 1)*",19,"Co-operative Housing Ireland","","","","Q4-2019","",""
19,"CALF Turnkey","Carlow","The Millrace, Burrin, Co. Carlow (Phase 1)*",22,"Co-operative Housing Ireland","","","","Q4-2019","",""
20,"CALF Turnkey","Carlow","Sleaty Street, Graigcullen, Carlow  (Phase 1)",26,"Cluid Housing","","","","","","Q1-2019"
21,"CAS CONSTRUCTION","Carlow","Gleann na Bearu, Royal Oak Road, Bagenalstown",6,"Respond","","","Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.","","",""
22,"CAS CONSTRUCTION","Carlow","Ballincarrig, Wexford Road",6,"Tintean Housing Association Ltd","","","","","","Q4-2016"
23,"CAS CONSTRUCTION TURNKEY","Carlow","Pollerton Big, Carlow",6,"Tintean Housing Association Ltd","","","","Stage 4 approved Q1-2019, the scheme is fully approved.","",""
24,"SHIP CONSTRUCTION","Carlow","The Laurels, Carlow Town",5,"*N/A","","","","","","Q2-2018"
25,"SHIP CONSTRUCTION","Carlow","Ard na Greine, Tullow",16,"*N/A","","","","","","Q4-2018"
26,"SHIP CONSTRUCTION","Carlow","Bagenalstown",20,"*N/A","","","","","Q2-2019",""
27,"SHIP CONSTRUCTION","Carlow","Bilboa",2,"*N/A","","","","","","Q3-2018"
28,"SHIP CONSTRUCTION","Carlow","Slate Row, Hacketstown",4,"*N/A","","","","","","Q4-2018"
29,"SHIP CONSTRUCTION","Carlow","Mount Leinster Park, Carlow",4,"*N/A","","","","","","Q4-2017"
30,"SHIP CONSTRUCTION","Carlow","Myshall",4,"*N/A","","","","","","Q1-2018"
31,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris",4,"*N/A","","","","","","Q3-2017"
32,"SHIP CONSTRUCTION","Carlow","Rathvilly",10,"*N/A","","","","","","Q2-2017"
