,Quarter,Local Authority,No. of Units,Year
0,q1_2018,Carlow,374.0,2018
1,q1_2018,Cavan,55.0,2018
2,q1_2018,Clare,212.0,2018
3,q1_2018,Cork City,873.0,2018
4,q1_2018,Cork County,765.0,2018
5,q1_2018,DLR,458.0,2018
6,q1_2018,Donegal,400.0,2018
7,q1_2018,Dublin City,2501.0,2018
8,q1_2018,Fingal,763.0,2018
9,q1_2018,Galway City,361.0,2018
10,q1_2018,Galway County,356.0,2018
11,q1_2018,Kerry,460.0,2018
12,q1_2018,Kildare,579.0,2018
13,q1_2018,Kilkenny,517.0,2018
14,q1_2018,Laois,111.0,2018
15,q1_2018,Laois ,6.0,2018
16,q1_2018,Leitrim,37.0,2018
17,q1_2018,Limerick,934.0,2018
18,q1_2018,Longford,82.0,2018
19,q1_2018,Louth,780.0,2018
20,q1_2018,Mayo,236.0,2018
21,q1_2018,Meath,694.0,2018
22,q1_2018,Monaghan,241.0,2018
23,q1_2018,Offaly,213.0,2018
24,q1_2018,Roscommon,115.0,2018
25,q1_2018,Sligo,119.0,2018
26,q1_2018,South Dublin,794.0,2018
27,q1_2018,Tipperary,303.0,2018
28,q1_2018,Waterford,382.0,2018
29,q1_2018,Westmeath,133.0,2018
30,q1_2018,Wexford,547.0,2018
31,q1_2018,Wicklow,415.0,2018
94,q2_2018,Carlow,383.0,2018
95,q2_2018,Cavan,93.0,2018
96,q2_2018,Clare,317.0,2018
97,q2_2018,Cork,154.0,2018
98,q2_2018,Cork City,848.0,2018
99,q2_2018,Cork County,993.0,2018
100,q2_2018,DLR,556.0,2018
101,q2_2018,Donegal,415.0,2018
102,q2_2018,Dublin City,2519.0,2018
103,q2_2018,Fingal,894.0,2018
104,q2_2018,Galway,74.0,2018
105,q2_2018,Galway City,398.0,2018
106,q2_2018,Galway County,360.0,2018
107,q2_2018,Kerry,494.0,2018
108,q2_2018,Kildare,722.0,2018
109,q2_2018,Kilkenny,524.0,2018
110,q2_2018,Laois,162.0,2018
111,q2_2018,Leitrim,37.0,2018
112,q2_2018,Limerick,902.0,2018
113,q2_2018,Longford,104.0,2018
114,q2_2018,Louth,934.0,2018
115,q2_2018,Mayo,219.0,2018
116,q2_2018,Meath,682.0,2018
117,q2_2018,Monaghan,241.0,2018
118,q2_2018,Offaly,203.0,2018
119,q2_2018,Roscommon,134.0,2018
120,q2_2018,Sligo,120.0,2018
121,q2_2018,South Dublin,835.0,2018
122,q2_2018,Tipperary,293.0,2018
123,q2_2018,Waterford,541.0,2018
124,q2_2018,Westmeath,159.0,2018
125,q2_2018,Wexford,605.0,2018
126,q2_2018,Wicklow,436.0,2018
189,q3_2018,Carlow,410.0,2018
190,q3_2018,Cavan,93.0,2018
191,q3_2018,Clare,317.0,2018
192,q3_2018,Cork City,1002.0,2018
193,q3_2018,Cork County,1354.0,2018
194,q3_2018,DLR,567.0,2018
195,q3_2018,Donegal,412.0,2018
196,q3_2018,Dublin City,2586.0,2018
197,q3_2018,Fingal,928.0,2018
198,q3_2018,Galway City,593.0,2018
199,q3_2018,Galway County,390.0,2018
200,q3_2018,Kerry,546.0,2018
201,q3_2018,Kildare,748.0,2018
202,q3_2018,Kilkenny,603.0,2018
203,q3_2018,Laois,225.0,2018
204,q3_2018,Leitrim,47.0,2018
205,q3_2018,Limerick,918.0,2018
206,q3_2018,Longford,137.0,2018
207,q3_2018,Louth,901.0,2018
208,q3_2018,Mayo,219.0,2018
209,q3_2018,Meath,866.0,2018
210,q3_2018,Monaghan,271.0,2018
