,Month,UNIT,House Construction Cost Index
0,197501,Base Jan 1991=100,18.3
1,197502,Base Jan 1991=100,18.7
2,197503,Base Jan 1991=100,18.8
3,197504,Base Jan 1991=100,19.6
4,197505,Base Jan 1991=100,19.8
5,197506,Base Jan 1991=100,19.9
6,197507,Base Jan 1991=100,20.8
7,197508,Base Jan 1991=100,20.8
8,197509,Base Jan 1991=100,20.7
9,197510,Base Jan 1991=100,20.7
10,197511,Base Jan 1991=100,20.7
11,197512,Base Jan 1991=100,20.8
12,197601,Base Jan 1991=100,21.0
13,197602,Base Jan 1991=100,21.6
14,197603,Base Jan 1991=100,21.7
15,197604,Base Jan 1991=100,21.7
16,197605,Base Jan 1991=100,22.0
17,197606,Base Jan 1991=100,22.9
18,197607,Base Jan 1991=100,23.1
19,197608,Base Jan 1991=100,23.6
20,197609,Base Jan 1991=100,24.1
21,197610,Base Jan 1991=100,24.2
22,197611,Base Jan 1991=100,24.2
23,197612,Base Jan 1991=100,24.4
24,197701,Base Jan 1991=100,24.5
25,197702,Base Jan 1991=100,26.1
26,197703,Base Jan 1991=100,26.5
27,197704,Base Jan 1991=100,26.6
28,197705,Base Jan 1991=100,26.7
29,197706,Base Jan 1991=100,26.9
30,197707,Base Jan 1991=100,27.0
31,197708,Base Jan 1991=100,27.1
32,197709,Base Jan 1991=100,27.7
33,197710,Base Jan 1991=100,27.7
34,197711,Base Jan 1991=100,27.8
35,197712,Base Jan 1991=100,27.8
36,197801,Base Jan 1991=100,28.7
37,197802,Base Jan 1991=100,28.7
38,197803,Base Jan 1991=100,28.7
39,197804,Base Jan 1991=100,29.3
40,197805,Base Jan 1991=100,29.5
41,197806,Base Jan 1991=100,29.6
42,197807,Base Jan 1991=100,29.8
43,197808,Base Jan 1991=100,29.8
44,197809,Base Jan 1991=100,29.8
45,197810,Base Jan 1991=100,29.9
46,197811,Base Jan 1991=100,30.4
47,197812,Base Jan 1991=100,30.5
48,197901,Base Jan 1991=100,30.8
49,197902,Base Jan 1991=100,31.4
50,197903,Base Jan 1991=100,31.5
51,197904,Base Jan 1991=100,33.4
52,197905,Base Jan 1991=100,33.5
53,197906,Base Jan 1991=100,33.7
54,197907,Base Jan 1991=100,35.1
55,197908,Base Jan 1991=100,35.5
56,197909,Base Jan 1991=100,36.0
57,197910,Base Jan 1991=100,36.4
58,197911,Base Jan 1991=100,36.8
59,197912,Base Jan 1991=100,36.8
60,198001,Base Jan 1991=100,39.7
61,198002,Base Jan 1991=100,39.9
62,198003,Base Jan 1991=100,40.1
63,198004,Base Jan 1991=100,41.2
64,198005,Base Jan 1991=100,41.5
65,198006,Base Jan 1991=100,41.7
66,198007,Base Jan 1991=100,41.7
67,198008,Base Jan 1991=100,43.9
68,198009,Base Jan 1991=100,43.9
69,198010,Base Jan 1991=100,44.2
70,198011,Base Jan 1991=100,45.0
71,198012,Base Jan 1991=100,45.2
72,198101,Base Jan 1991=100,45.2
73,198102,Base Jan 1991=100,46.4
74,198103,Base Jan 1991=100,46.9
75,198104,Base Jan 1991=100,50.5
76,198105,Base Jan 1991=100,50.9
77,198106,Base Jan 1991=100,51.7
78,198107,Base Jan 1991=100,51.7
79,198108,Base Jan 1991=100,51.9
80,198109,Base Jan 1991=100,52.2
81,198110,Base Jan 1991=100,52.1
82,198111,Base Jan 1991=100,52.6
83,198112,Base Jan 1991=100,52.4
84,198201,Base Jan 1991=100,54.8
85,198202,Base Jan 1991=100,55.0
86,198203,Base Jan 1991=100,55.4
87,198204,Base Jan 1991=100,56.3
88,198205,Base Jan 1991=100,56.9
89,198206,Base Jan 1991=100,57.2
90,198207,Base Jan 1991=100,57.9
91,198208,Base Jan 1991=100,58.1
92,198209,Base Jan 1991=100,59.2
93,198210,Base Jan 1991=100,59.2
94,198211,Base Jan 1991=100,59.3
95,198212,Base Jan 1991=100,59.4
96,198301,Base Jan 1991=100,54.8
97,198302,Base Jan 1991=100,55.0
98,198303,Base Jan 1991=100,55.4
99,198304,Base Jan 1991=100,56.3
100,198305,Base Jan 1991=100,56.9
101,198306,Base Jan 1991=100,57.2
102,198307,Base Jan 1991=100,57.9
103,198308,Base Jan 1991=100,58.1
104,198309,Base Jan 1991=100,59.2
105,198310,Base Jan 1991=100,59.2
106,198311,Base Jan 1991=100,59.3
107,198312,Base Jan 1991=100,59.4
108,198401,Base Jan 1991=100,66.1
109,198402,Base Jan 1991=100,66.2
110,198403,Base Jan 1991=100,66.9
111,198404,Base Jan 1991=100,67.7
112,198405,Base Jan 1991=100,67.9
113,198406,Base Jan 1991=100,68.0
114,198407,Base Jan 1991=100,68.1
115,198408,Base Jan 1991=100,68.9
116,198409,Base Jan 1991=100,69.7
117,198410,Base Jan 1991=100,70.3
118,198411,Base Jan 1991=100,70.3
119,198412,Base Jan 1991=100,70.9
120,198501,Base Jan 1991=100,71.2
121,198502,Base Jan 1991=100,71.2
122,198503,Base Jan 1991=100,71.3
123,198504,Base Jan 1991=100,73.2
124,198505,Base Jan 1991=100,77.1
125,198506,Base Jan 1991=100,77.1
126,198507,Base Jan 1991=100,77.1
127,198508,Base Jan 1991=100,78.8
128,198509,Base Jan 1991=100,78.8
129,198510,Base Jan 1991=100,78.9
130,198511,Base Jan 1991=100,79.0
131,198512,Base Jan 1991=100,79.0
132,198601,Base Jan 1991=100,79.0
133,198602,Base Jan 1991=100,81.4
134,198603,Base Jan 1991=100,81.5
135,198604,Base Jan 1991=100,81.5
136,198605,Base Jan 1991=100,81.7
137,198606,Base Jan 1991=100,81.7
138,198607,Base Jan 1991=100,81.7
139,198608,Base Jan 1991=100,82.3
140,198609,Base Jan 1991=100,82.3
141,198610,Base Jan 1991=100,82.6
142,198611,Base Jan 1991=100,82.6
143,198612,Base Jan 1991=100,82.6
144,198701,Base Jan 1991=100,82.7
145,198702,Base Jan 1991=100,83.7
146,198703,Base Jan 1991=100,83.8
147,198704,Base Jan 1991=100,83.8
148,198705,Base Jan 1991=100,83.9
149,198706,Base Jan 1991=100,85.4
150,198707,Base Jan 1991=100,85.5
151,198708,Base Jan 1991=100,85.6
152,198709,Base Jan 1991=100,85.6
153,198710,Base Jan 1991=100,85.7
154,198711,Base Jan 1991=100,85.7
155,198712,Base Jan 1991=100,85.7
156,198801,Base Jan 1991=100,85.7
157,198802,Base Jan 1991=100,86.3
158,198803,Base Jan 1991=100,86.4
159,198804,Base Jan 1991=100,87.7
160,198805,Base Jan 1991=100,87.8
161,198806,Base Jan 1991=100,87.8
162,198807,Base Jan 1991=100,88.3
163,198808,Base Jan 1991=100,89.0
164,198809,Base Jan 1991=100,89.0
165,198810,Base Jan 1991=100,90.1
166,198811,Base Jan 1991=100,90.1
167,198812,Base Jan 1991=100,90.1
168,198901,Base Jan 1991=100,91.1
169,198902,Base Jan 1991=100,91.8
170,198903,Base Jan 1991=100,91.9
171,198904,Base Jan 1991=100,94.6
172,198905,Base Jan 1991=100,94.6
173,198906,Base Jan 1991=100,94.7
174,198907,Base Jan 1991=100,94.7
175,198908,Base Jan 1991=100,94.8
176,198909,Base Jan 1991=100,94.8
177,198910,Base Jan 1991=100,95.5
178,198911,Base Jan 1991=100,95.8
179,198912,Base Jan 1991=100,95.8
180,199001,Base Jan 1991=100,95.8
181,199002,Base Jan 1991=100,96.9
182,199003,Base Jan 1991=100,96.9
183,199004,Base Jan 1991=100,97.7
184,199005,Base Jan 1991=100,98.9
185,199006,Base Jan 1991=100,98.9
186,199007,Base Jan 1991=100,98.9
187,199008,Base Jan 1991=100,99.8
188,199009,Base Jan 1991=100,100.0
189,199010,Base Jan 1991=100,100.0
190,199011,Base Jan 1991=100,100.0
191,199012,Base Jan 1991=100,99.9
192,199101,Base Jan 1991=100,100.0
193,199102,Base Jan 1991=100,100.7
194,199103,Base Jan 1991=100,100.8
195,199104,Base Jan 1991=100,102.6
196,199105,Base Jan 1991=100,102.7
197,199106,Base Jan 1991=100,102.7
198,199107,Base Jan 1991=100,102.7
199,199108,Base Jan 1991=100,102.7
200,199109,Base Jan 1991=100,103.3
201,199110,Base Jan 1991=100,103.0
202,199111,Base Jan 1991=100,103.0
203,199112,Base Jan 1991=100,102.5
204,199201,Base Jan 1991=100,102.6
205,199202,Base Jan 1991=100,103.4
206,199203,Base Jan 1991=100,103.5
207,199204,Base Jan 1991=100,104.9
208,199205,Base Jan 1991=100,104.9
209,199206,Base Jan 1991=100,104.9
210,199207,Base Jan 1991=100,105.0
211,199208,Base Jan 1991=100,105.0
212,199209,Base Jan 1991=100,105.5
213,199210,Base Jan 1991=100,105.5
214,199211,Base Jan 1991=100,105.4
215,199212,Base Jan 1991=100,105.2
216,199301,Base Jan 1991=100,105.3
217,199302,Base Jan 1991=100,105.1
218,199303,Base Jan 1991=100,105.1
219,199304,Base Jan 1991=100,107.6
220,199305,Base Jan 1991=100,107.7
221,199306,Base Jan 1991=100,107.7
222,199307,Base Jan 1991=100,107.8
223,199308,Base Jan 1991=100,107.8
224,199309,Base Jan 1991=100,108.2
225,199310,Base Jan 1991=100,108.4
226,199311,Base Jan 1991=100,108.4
227,199312,Base Jan 1991=100,108.7
228,199401,Base Jan 1991=100,109.2
229,199402,Base Jan 1991=100,109.3
230,199403,Base Jan 1991=100,109.4
231,199404,Base Jan 1991=100,110.3
232,199405,Base Jan 1991=100,110.1
233,199406,Base Jan 1991=100,110.6
234,199407,Base Jan 1991=100,110.7
235,199408,Base Jan 1991=100,110.9
236,199409,Base Jan 1991=100,112.2
237,199410,Base Jan 1991=100,112.7
238,199411,Base Jan 1991=100,112.9
239,199412,Base Jan 1991=100,113.1
240,199501,Base Jan 1991=100,113.5
241,199502,Base Jan 1991=100,114.1
242,199503,Base Jan 1991=100,114.1
243,199504,Base Jan 1991=100,114.1
244,199505,Base Jan 1991=100,114.1
245,199506,Base Jan 1991=100,114.1
246,199507,Base Jan 1991=100,114.5
247,199508,Base Jan 1991=100,114.5
248,199509,Base Jan 1991=100,115.7
249,199510,Base Jan 1991=100,115.8
250,199511,Base Jan 1991=100,115.9
251,199512,Base Jan 1991=100,115.9
252,199601,Base Jan 1991=100,115.9
253,199602,Base Jan 1991=100,115.7
254,199603,Base Jan 1991=100,115.9
255,199604,Base Jan 1991=100,115.9
256,199605,Base Jan 1991=100,115.9
257,199606,Base Jan 1991=100,116.0
258,199607,Base Jan 1991=100,116.0
259,199608,Base Jan 1991=100,116.0
260,199609,Base Jan 1991=100,116.9
261,199610,Base Jan 1991=100,117.1
262,199611,Base Jan 1991=100,117.2
263,199612,Base Jan 1991=100,117.2
264,199701,Base Jan 1991=100,118.0
265,199702,Base Jan 1991=100,118.5
266,199703,Base Jan 1991=100,118.8
267,199704,Base Jan 1991=100,119.8
268,199705,Base Jan 1991=100,119.8
269,199706,Base Jan 1991=100,119.9
270,199707,Base Jan 1991=100,120.8
271,199708,Base Jan 1991=100,121.0
272,199709,Base Jan 1991=100,121.5
273,199710,Base Jan 1991=100,122.0
274,199711,Base Jan 1991=100,122.6
275,199712,Base Jan 1991=100,122.6
276,199801,Base Jan 1991=100,122.9
277,199802,Base Jan 1991=100,123.1
278,199803,Base Jan 1991=100,123.8
279,199804,Base Jan 1991=100,123.8
280,199805,Base Jan 1991=100,124.5
281,199806,Base Jan 1991=100,124.5
282,199807,Base Jan 1991=100,125.7
283,199808,Base Jan 1991=100,125.7
284,199809,Base Jan 1991=100,126.0
285,199810,Base Jan 1991=100,126.2
286,199811,Base Jan 1991=100,126.2
287,199812,Base Jan 1991=100,126.1
288,199901,Base Jan 1991=100,126.3
289,199902,Base Jan 1991=100,126.4
290,199903,Base Jan 1991=100,126.5
291,199904,Base Jan 1991=100,130.5
292,199905,Base Jan 1991=100,130.5
293,199906,Base Jan 1991=100,130.5
294,199907,Base Jan 1991=100,131.5
295,199908,Base Jan 1991=100,131.5
296,199909,Base Jan 1991=100,134.1
297,199910,Base Jan 1991=100,134.7
298,199911,Base Jan 1991=100,134.8
299,199912,Base Jan 1991=100,134.9
300,200001,Base Jan 1991=100,135.8
301,200002,Base Jan 1991=100,136.1
302,200003,Base Jan 1991=100,136.4
303,200004,Base Jan 1991=100,136.5
304,200005,Base Jan 1991=100,136.8
305,200006,Base Jan 1991=100,136.9
306,200007,Base Jan 1991=100,137.2
307,200008,Base Jan 1991=100,137.2
308,200009,Base Jan 1991=100,137.7
309,200010,Base Jan 1991=100,153.8
310,200011,Base Jan 1991=100,153.8
311,200012,Base Jan 1991=100,153.9
312,200101,Base Jan 1991=100,154.3
313,200102,Base Jan 1991=100,154.7
314,200103,Base Jan 1991=100,155.6
315,200104,Base Jan 1991=100,157.4
316,200105,Base Jan 1991=100,157.6
317,200106,Base Jan 1991=100,157.7
318,200107,Base Jan 1991=100,161.1
319,200108,Base Jan 1991=100,165.9
320,200109,Base Jan 1991=100,166.0
321,200110,Base Jan 1991=100,169.3
322,200111,Base Jan 1991=100,169.4
323,200112,Base Jan 1991=100,169.3
324,200201,Base Jan 1991=100,169.9
325,200202,Base Jan 1991=100,170.0
326,200203,Base Jan 1991=100,169.5
327,200204,Base Jan 1991=100,169.5
328,200205,Base Jan 1991=100,169.5
329,200206,Base Jan 1991=100,169.7
330,200207,Base Jan 1991=100,173.8
331,200208,Base Jan 1991=100,173.9
332,200209,Base Jan 1991=100,173.9
333,200210,Base Jan 1991=100,173.9
334,200211,Base Jan 1991=100,174.0
335,200212,Base Jan 1991=100,174.1
336,200301,Base Jan 1991=100,174.2
337,200302,Base Jan 1991=100,174.5
338,200303,Base Jan 1991=100,174.5
339,200304,Base Jan 1991=100,177.3
340,200305,Base Jan 1991=100,177.3
341,200306,Base Jan 1991=100,177.4
342,200307,Base Jan 1991=100,177.1
343,200308,Base Jan 1991=100,177.2
344,200309,Base Jan 1991=100,177.2
345,200310,Base Jan 1991=100,177.2
346,200311,Base Jan 1991=100,177.2
347,200312,Base Jan 1991=100,177.2
348,200401,Base Jan 1991=100,179.6
349,200402,Base Jan 1991=100,179.7
350,200403,Base Jan 1991=100,179.9
351,200404,Base Jan 1991=100,179.9
352,200405,Base Jan 1991=100,180.0
353,200406,Base Jan 1991=100,180.2
354,200407,Base Jan 1991=100,182.1
355,200408,Base Jan 1991=100,182.2
356,200409,Base Jan 1991=100,182.2
357,200410,Base Jan 1991=100,183.9
358,200411,Base Jan 1991=100,184.2
359,200412,Base Jan 1991=100,184.2
360,200501,Base Jan 1991=100,184.7
361,200502,Base Jan 1991=100,184.8
362,200503,Base Jan 1991=100,184.9
363,200504,Base Jan 1991=100,186.5
364,200505,Base Jan 1991=100,186.6
365,200506,Base Jan 1991=100,186.6
366,200507,Base Jan 1991=100,186.7
367,200508,Base Jan 1991=100,186.9
368,200509,Base Jan 1991=100,186.9
369,200510,Base Jan 1991=100,189.5
370,200511,Base Jan 1991=100,189.4
371,200512,Base Jan 1991=100,189.7
372,200601,Base Jan 1991=100,189.9
373,200602,Base Jan 1991=100,190.1
374,200603,Base Jan 1991=100,190.6
375,200604,Base Jan 1991=100,194.0
376,200605,Base Jan 1991=100,194.2
377,200606,Base Jan 1991=100,194.3
378,200607,Base Jan 1991=100,194.4
379,200608,Base Jan 1991=100,194.5
380,200609,Base Jan 1991=100,194.6
381,200610,Base Jan 1991=100,197.7
382,200611,Base Jan 1991=100,198.0
383,200612,Base Jan 1991=100,198.1
384,200701,Base Jan 1991=100,198.8
385,200702,Base Jan 1991=100,198.8
386,200703,Base Jan 1991=100,199.4
387,200704,Base Jan 1991=100,200.0
388,200705,Base Jan 1991=100,200.1
389,200706,Base Jan 1991=100,200.3
390,200707,Base Jan 1991=100,203.7
391,200708,Base Jan 1991=100,203.6
392,200709,Base Jan 1991=100,203.7
393,200710,Base Jan 1991=100,203.8
394,200711,Base Jan 1991=100,203.8
395,200712,Base Jan 1991=100,204.2
396,200801,Base Jan 1991=100,207.4
397,200802,Base Jan 1991=100,208.2
398,200803,Base Jan 1991=100,208.6
399,200804,Base Jan 1991=100,208.9
400,200805,Base Jan 1991=100,209.4
401,200806,Base Jan 1991=100,209.9
402,200807,Base Jan 1991=100,210.4
403,200808,Base Jan 1991=100,210.4
404,200809,Base Jan 1991=100,210.5
405,200810,Base Jan 1991=100,210.1
406,200811,Base Jan 1991=100,209.9
407,200812,Base Jan 1991=100,209.3
408,200901,Base Jan 1991=100,208.0
409,200902,Base Jan 1991=100,207.3
410,200903,Base Jan 1991=100,206.8
411,200904,Base Jan 1991=100,206.5
412,200905,Base Jan 1991=100,206.5
413,200906,Base Jan 1991=100,206.0
414,200907,Base Jan 1991=100,206.0
415,200908,Base Jan 1991=100,206.0
416,200909,Base Jan 1991=100,206.1
417,200910,Base Jan 1991=100,206.2
418,200911,Base Jan 1991=100,206.2
419,200912,Base Jan 1991=100,206.2
420,201001,Base Jan 1991=100,206.9
421,201002,Base Jan 1991=100,207.2
422,201003,Base Jan 1991=100,207.3
423,201004,Base Jan 1991=100,207.9
424,201005,Base Jan 1991=100,208.7
425,201006,Base Jan 1991=100,208.6
426,201007,Base Jan 1991=100,209.4
427,201008,Base Jan 1991=100,209.6
428,201009,Base Jan 1991=100,209.5
429,201010,Base Jan 1991=100,209.5
430,201011,Base Jan 1991=100,209.5
